DatasetType,Eta,Sigma,N,GridSize,QuantificationError,SelfOrganizationError
uniform,0.0,1.4,100000,"(10, 10)",0.35826932645136206,0.7366666666666667
uniform,0.01,1.4,100000,"(10, 10)",0.02810983914590629,0.021666666666666667
uniform,0.05,1.4,100000,"(10, 10)",0.02860084223529786,0.018333333333333333
uniform,0.1,1.4,100000,"(10, 10)",0.020866223075020993,0.0
uniform,0.5,1.4,100000,"(10, 10)",0.029125955244963374,0.0008333333333333334
uniform,1.0,1.4,100000,"(10, 10)",0.023986449660040383,0.045
uniform,0.05,0.1,100000,"(10, 10)",0.010846707575960205,0.945
uniform,0.05,0.4,100000,"(10, 10)",0.007878874327189648,0.55
uniform,0.05,1.4,100000,"(10, 10)",0.02765726885814923,0.013333333333333334
uniform,0.05,2.0,100000,"(10, 10)",0.03606288448285308,0.0
uniform,0.05,4.0,100000,"(10, 10)",0.14548943914257428,0.0
uniform,0.05,1.4,1000,"(10, 10)",0.035230959273798344,0.0875
uniform,0.05,1.4,5000,"(10, 10)",0.03168416175786317,0.1075
uniform,0.05,1.4,10000,"(10, 10)",0.028732600053446355,0.016666666666666666
uniform,0.05,1.4,30000,"(10, 10)",0.02631013811037167,0.029166666666666667
uniform,0.05,1.4,50000,"(10, 10)",0.019397125267532768,0.0
uniform,0.05,1.4,100000,"(10, 10)",0.019739486732232112,0.0
uniform,0.05,1.4,100000,"(10, 10)",0.02606213244023375,0.016666666666666666
uniform,0.05,1.4,100000,"(20, 5)",0.02403833448386513,0.029166666666666667
uniform,0.05,1.4,100000,"(5, 20)",0.022939374352235666,0.03666666666666667
uniform,0.05,1.4,100000,"(30, 1)",0.05086132898354059,0.03166666666666667
clustered,0.0,1.4,100000,"(10, 10)",0.003955148061856911,0.9583333333333334
clustered,0.01,1.4,100000,"(10, 10)",0.0032586397772703234,0.014166666666666666
clustered,0.05,1.4,100000,"(10, 10)",0.00329713860114983,0.014166666666666666
clustered,0.1,1.4,100000,"(10, 10)",0.00315490032705469,0.050833333333333335
clustered,0.5,1.4,100000,"(10, 10)",0.0046013309246838874,0.025
clustered,1.0,1.4,100000,"(10, 10)",0.004264823021861485,0.08416666666666667
clustered,0.05,0.1,100000,"(10, 10)",0.0013560824555914398,0.9158333333333334
clustered,0.05,0.4,100000,"(10, 10)",0.0009974527487469802,0.565
clustered,0.05,1.4,100000,"(10, 10)",0.00352995578711888,0.03916666666666667
clustered,0.05,2.0,100000,"(10, 10)",0.007341477788057416,0.051666666666666666
clustered,0.05,4.0,100000,"(10, 10)",0.025569908660191557,0.0016666666666666668
clustered,0.05,1.4,1000,"(10, 10)",0.004739494776733743,0.125
clustered,0.05,1.4,5000,"(10, 10)",0.003602961143713191,0.04666666666666667
clustered,0.05,1.4,10000,"(10, 10)",0.003454924837282743,0.015
clustered,0.05,1.4,30000,"(10, 10)",0.003665908428481401,0.008333333333333333
clustered,0.05,1.4,50000,"(10, 10)",0.0034385998879339153,0.07083333333333333
clustered,0.05,1.4,100000,"(10, 10)",0.003316203509806365,0.0033333333333333335
clustered,0.05,1.4,100000,"(10, 10)",0.0033427117511254725,0.09916666666666667
clustered,0.05,1.4,100000,"(20, 5)",0.0032646131351663035,0.005833333333333334
clustered,0.05,1.4,100000,"(5, 20)",0.0029404311952866678,0.0033333333333333335
clustered,0.05,1.4,100000,"(30, 1)",0.006090743303506312,0.04416666666666667
random_gap,0.0,1.4,100000,"(10, 10)",0.4261886345271307,0.8897876643073812
random_gap,0.01,1.4,100000,"(10, 10)",0.01688733126560863,0.0
random_gap,0.05,1.4,100000,"(10, 10)",0.020487020780356625,0.006066734074823054
random_gap,0.1,1.4,100000,"(10, 10)",0.02562332857376613,0.025278058645096056
random_gap,0.5,1.4,100000,"(10, 10)",0.022766501801085616,0.008088978766430738
random_gap,1.0,1.4,100000,"(10, 10)",0.02474750538110166,0.04044489383215369
random_gap,0.05,0.1,100000,"(10, 10)",0.016266914715636283,0.9828109201213346
random_gap,0.05,0.4,100000,"(10, 10)",0.00646510565617235,0.49848331648129424
random_gap,0.05,1.4,100000,"(10, 10)",0.016929665762709437,0.0
random_gap,0.05,2.0,100000,"(10, 10)",0.048005623983510604,0.017189079878665317
random_gap,0.05,4.0,100000,"(10, 10)",0.1357531804031048,0.0
random_gap,0.05,1.4,1000,"(10, 10)",0.03877988242527814,0.16279069767441862
random_gap,0.05,1.4,5000,"(10, 10)",0.01888221087109396,0.003033367037411527
random_gap,0.05,1.4,10000,"(10, 10)",0.01782004947899989,0.0
random_gap,0.05,1.4,30000,"(10, 10)",0.0184340341106827,0.0
random_gap,0.05,1.4,50000,"(10, 10)",0.016125519291845004,0.0
random_gap,0.05,1.4,100000,"(10, 10)",0.018337476561808248,0.0
random_gap,0.05,1.4,100000,"(10, 10)",0.022667924885046133,0.005055611729019211
random_gap,0.05,1.4,100000,"(20, 5)",0.023044054887091728,0.04954499494438827
random_gap,0.05,1.4,100000,"(5, 20)",0.019141522706429916,0.017189079878665317
random_gap,0.05,1.4,100000,"(30, 1)",0.0439242805211752,0.033367037411526794
